

KoltsoLodet						{Josephine Lodet's Ring}
OskolokProshlogo				{Shard of the past}
OskolokProshlogo_Lvl			{10}
OskolokProshlogo_Desc			{Taken from any pirate head.}
OskolokProshlogo_Spec			{}

Nasledstvo						{Unexpected inheritance}
Nasledstvo_Lvl					{10}
Nasledstvo_Desc					{Taken from a young woman on the streets of Basse-Terre.}
Nasledstvo_Spec					{Requires to pay 7,000 piastres.}

Kondotier						{Condottiere}
Kondotier_Lvl					{10}
Kondotier_Desc					{Taken from a smuggler in any tavern other than pirate.}
Kondotier_Spec					{}

KorablPrizrak					{Ghost Ship}
KorablPrizrak_Lvl				{10}
KorablPrizrak_Desc				{Taken from a drunks in taverns.}
KorablPrizrak_Spec				{}

Satanisty						{Strange things are happening in the archipelago}
Satanisty_Lvl					{10}
Satanisty_Desc					{Taken from women in a gazebo on the grounds of the governor's residence in Marigo.}
Satanisty_Spec					{}

ZacharovanyGorod				{Magic City}
ZacharovanyGorod_Lvl			{10}
ZacharovanyGorod_Desc			{Taken from any citizen in Caracas from 9:00 to 20:00.}
ZacharovanyGorod_Spec			{}

OhotaNaVedmu					{Witch Hunt}
OhotaNaVedmu_Lvl				{15}
OhotaNaVedmu_Desc				{Taken from a nobleman walking the streets of Belize.}
OhotaNaVedmu_Spec				{}

ZagadochnyOstrov				{Mysterious Island}
ZagadochnyOstrov_Lvl			{15}
ZagadochnyOstrov_Desc			{Taken from a beggar in a Bridgetown tavern.}
ZagadochnyOstrov_Spec			{}

UbitVsehNishih					{Kill all beggars}
UbitVsehNishih_Lvl				{15}
UbitVsehNishih_Desc				{Taken from a bold man walking the streets of Port Royal.}
UbitVsehNishih_Spec				{}

GPK								{In the City of Abandoned Ships}
GPK_Lvl							{15}
GPK_Desc						{Needed to swim on the global map to the top left of the map.}
GPK_Spec						{Requires to complete "Kill all beggars" quest.}

ChernayaBoroda					{Blackbeard}
ChernayaBoroda_Lvl				{20}
ChernayaBoroda_Desc				{Taken from drunks in tavern.}
ChernayaBoroda_Spec				{}

Salazar							{Salazar}
Salazar_Lvl						{20}
Salazar_Desc					{Taken from drunks in tavern.}
Salazar_Spec					{}

IstoriyaIzabely					{Story of the beautiful Isabella}
IstoriyaIzabely_Lvl				{20}
IstoriyaIzabely_Desc			{Taken from a pirate walking the streets of Bermudes.}
IstoriyaIzabely_Spec			{Main Character has to be a man.}

ChernyeParusa					{Black Sails}
ChernyeParusa_Lvl				{25}
ChernyeParusa_Desc				{Taken from Guthrie in Bermudes store.}
ChernyeParusa_Spec				{Requires to complete "Destroy Xebec Blue Bird" quest.}

Teno							{Tenochitlan}
Teno_Lvl						{?}
Teno_Desc						{Taken from a sailor in Mosquitos bay what's on West Main.}
Teno_Spec						{}

IstoriaDavneyDrujby				{Story of a long-standing friendship}
IstoriaDavneyDrujby_Lvl			{?}
IstoriaDavneyDrujby_Desc		{Taken from a man walking streets of La Vega.}
IstoriaDavneyDrujby_Spec		{Requires a patent of any nation.}

NovayaRodina					{In search of a new homeland}
NovayaRodina_Lvl				{?}
NovayaRodina_Desc				{Taken from a old pirate sitting in Puerto Principe tavern.}
NovayaRodina_Spec				{Requires spanish patent.}

SilverFleet						{Silver Fleet} // СФ
SilverFleet_Lvl					{?}
SilverFleet_Desc				{After receiving an invitation from an English officer at Port Royal, the quest is given by Governor General Thomas Madiford.}
SilverFleet_Spec				{Requires unlocking the "Sea Wolf" achievement and a good reputation.}
